Year,Ethiopia,Egypt,China,Iran,Iraq,Japan,Thailand,Turkey,Albania,Belgium,Bulgaria,Denmark,Finland,France,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Norway,Poland,Portugal,Romania,Russia,Spain,Sweden,Switzerland,United Kingdom,Jordan,Lebanon,Saudi Arabia,Argentina,Australia,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,New Zealand,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela
1945,46436.0,163560.0,129525.0,0.0,45819.0,111856.0,50032.0,21950.0,143053.0,8010240.0,38825.0,18317.0,1109.0,36400000.0,28784.0,5535683.0,176.0,2781260.0,44080236.0,273170.0,4905.0,21763800.0,7823709.0,957600.0,1702127.0,26273497.0,0.0,2103000.0,3541081.0,0.0,404600.0,0.0,14840000.0,1700160.0,2501000.0,44301367.0,5038280.0,4917092.0,9253000.0,680000.0,4387700.0,1847340.0,2502000.0,1565906.0,2245000.0,2626500.0,1174269.0,20673900.0,231153.0,873843.0,657800.0,1100000.0,6779700.0,38716742.0,1368000.0,3710000.0
1950,47758.0,204610.0,623359.0,0.0,103960.0,100000.0,90517.0,0.0,135000.0,8326402.0,40000.0,24211.0,1446.0,37562400.0,28430.0,5730144.0,400.0,2767601.0,45219840.0,285100.0,4753.0,22590000.0,8067581.0,1111083.0,1900000.0,27830968.0,0.0,2139000.0,3998664.0,24740.0,505050.0,0.0,15880000.0,1925471.0,2550700.0,48043880.0,6181650.0,5313000.0,10427280.0,773000.0,4964000.0,2098474.0,2903000.0,1693000.0,2703134.0,2634000.0,1373000.0,25329498.0,280000.0,1012000.0,739000.0,1234000.0,7668000.0,42635882.0,1537000.0,4466000.0
1955,49117.0,177305.0,3000000.0,0.0,107998.0,164961.0,163761.0,14891.0,127400.0,8414271.0,67715.0,32001.0,1784.0,37782360.0,47453.0,5990250.0,907.0,2724120.0,45755720.0,293050.0,5949.0,24904810.0,8205287.0,1159236.0,2350000.0,28853000.0,4000.0,2220000.0,4277443.0,0.0,599525.0,0.0,17904042.0,2208000.0,3077659.0,53781428.0,7338356.0,6120000.0,12608715.0,985500.0,5462100.0,2450000.0,3554658.0,1946500.0,2986206.0,2777000.0,1583700.0,25329000.0,341760.0,1172000.0,889240.0,1507711.0,8170818.0,46402368.0,1756900.0,5648283.0
1960,50475.0,150000.0,3000000.0,0.0,101639.0,229921.0,237006.0,6193.0,119200.0,8613304.0,79430.0,35790.0,2121.0,38411000.0,66477.0,5990400.0,1413.0,2686435.0,46291600.0,301000.0,7145.0,27196120.0,8362394.0,1207389.0,2700000.0,30000000.0,29000.0,2282258.0,4656221.0,0.0,694000.0,0.0,19409840.0,2671500.0,3149940.0,66529550.0,8495062.0,7233300.0,14953786.0,1198000.0,5924000.0,3101000.0,4106886.0,2400000.0,3657000.0,2920000.0,1854000.0,33871000.0,393000.0,1332000.0,1058440.0,1711115.0,9561000.0,50587880.0,1976800.0,6835000.0
1965,51834.0,293890.0,3000000.0,0.0,232406.0,294882.0,310250.0,0.0,112200.0,8780520.0,82010.0,47580.0,2458.0,40469140.0,70500.0,5997723.0,1920.0,2703440.0,46827480.0,310500.0,8342.0,28976320.0,8509500.0,1250542.0,2938000.0,31500000.0,35500.0,2342400.0,5435000.0,22990.0,840800.0,0.0,20920685.0,2620000.0,3523120.0,78241640.0,9051880.0,7549520.0,17456120.0,1196000.0,5960920.0,3189200.0,4835360.0,2655140.0,4202560.0,3372970.0,1952293.0,36228500.0,420480.0,1450081.0,1187430.0,1914520.0,10893650.0,64761783.0,1954310.0,8111460.0
1970,53192.0,120500.0,407861.0,0.0,266600.0,359842.0,151663.0,19133.0,163400.0,8682477.0,84900.0,49290.0,2795.0,41629760.0,73167.0,5932292.0,2006.0,2795666.0,47363360.0,312380.0,9538.0,30346727.0,8320450.0,1303694.0,3176000.0,33106000.0,50000.0,2749735.0,5513131.0,45980.0,987600.0,0.0,22431530.0,2984847.0,3980340.0,85690846.0,10009590.0,8511100.0,20000836.0,1602192.0,6119229.0,3189200.0,5749858.0,3313086.0,4546449.0,3797400.0,2412601.0,47028524.0,424768.0,1780995.0,1316421.0,2185000.0,12769151.0,69119143.0,2115337.0,9567080.0
1975,131596.0,98000.0,2354167.0,0.0,326007.0,392421.0,187331.0,28066.0,214400.0,8561858.0,86417.0,44468.0,3133.0,41819840.0,60833.0,5866862.0,2092.0,3000071.0,47970020.0,330870.0,10734.0,31617133.0,8365560.0,1351847.0,3414000.0,34806000.0,74117.0,3157070.0,5412065.0,0.0,981600.0,12500.0,24486060.0,3751110.0,4521050.0,97293175.0,11633595.0,9201000.0,22561920.0,1867221.0,6219229.0,3428810.0,6354440.0,3251280.0,5077624.0,4089750.0,2889835.0,61914000.0,493280.0,2090547.0,1502390.0,2526050.0,14402950.0,77181399.0,2067646.0,11473000.0
1980,210000.0,42500.0,4300474.0,29300.0,385415.0,425000.0,223000.0,37000.0,265000.0,8441239.0,88620.0,39645.0,3470.0,42009920.0,48500.0,5801431.0,2178.0,3204476.0,48576680.0,334140.0,11930.0,33027540.0,8685240.0,1400000.0,3652000.0,36732702.0,92353.0,3046700.0,5311000.0,40000.0,975600.0,25000.0,25439646.0,3785300.0,5011990.0,108895504.0,11670690.0,9919050.0,24597400.0,2132250.0,6471000.0,4700025.0,7562950.0,4180090.0,5608800.0,4382100.0,3367070.0,64138880.0,526220.0,2400100.0,1741766.0,2958300.0,16357861.0,75149580.0,2019955.0,13378920.0
1985,245000.0,55159.0,6246780.0,0.0,125000.0,432000.0,231500.0,30000.0,325270.0,8320619.0,87100.0,34823.0,3604.0,42200000.0,53750.0,5736000.0,2264.0,3216401.0,48683340.0,335220.0,25215.0,34043770.0,8867620.0,1280971.0,3890000.0,37202000.0,104246.0,3115350.0,5455500.0,55135.0,933800.0,237500.0,27640766.0,4164680.0,5423400.0,120802456.0,12636160.0,10279910.0,28006950.0,2450000.0,7151000.0,5248288.0,8863500.0,4467520.0,6479400.0,4515000.0,4156000.0,72253000.0,474000.0,2974000.0,1941000.0,3368000.0,18360700.0,82463100.0,1985280.0,16418773.0
1990,280000.0,200000.0,8193086.0,5600.0,272000.0,439000.0,240000.0,29200.0,423280.0,8200000.0,75000.0,30000.0,4801.0,41130933.0,59000.0,5590667.0,2350.0,3228327.0,48540000.0,337620.0,38500.0,35000000.0,9050000.0,1161942.0,4143510.0,37450000.0,142893.0,3184000.0,5600000.0,34850.0,830000.0,450000.0,28834993.0,4685000.0,5840000.0,121812760.0,12720000.0,10929500.0,30640000.0,2520000.0,7250000.0,5755952.0,9740000.0,4665000.0,7450000.0,5120000.0,4750300.0,77770000.0,470000.0,3275300.0,2004500.0,3835000.0,20091050.0,65530789.0,2119600.0,18331880.0
1995,351469.0,208603.0,10139393.0,2800.0,231150.0,477363.0,252929.0,30146.0,505260.0,7961180.0,74060.0,32043.0,5999.0,40061867.0,66347.0,5445333.0,2670.0,3268930.0,47580000.0,360780.0,41575.0,35110641.0,8902720.0,1139146.0,1477740.0,37249500.0,159356.0,3122600.0,5741500.0,80302.0,860574.0,557000.0,31291200.0,4698720.0,6820880.0,127311548.0,13399222.0,11646900.0,33344050.0,2926350.0,8088000.0,5305800.0,8863500.0,4874280.0,8279000.0,5834400.0,5245150.0,84970000.0,531300.0,3787650.0,2367900.0,4345200.0,21805388.0,70308695.0,2202760.0,20012640.0
2000,434043.0,120000.0,10220464.0,0.0,235000.0,1276702.0,261436.0,31000.0,249040.0,7620750.0,0.0,32959.0,7196.0,39750000.0,48607.0,5205333.0,3883.0,3296947.0,48703300.0,387900.0,42000.0,34810970.0,7900000.0,1057013.0,1078026.0,33300000.0,150236.0,3061200.0,5200000.0,33345.0,890000.0,650000.0,28884960.0,4810360.0,6496620.0,117549465.0,14078444.0,12382596.0,34280010.0,3459780.0,7280650.0,5783075.0,11002020.0,5083560.0,9449550.0,6555400.0,5740000.0,92770000.0,582951.0,4300000.0,2330000.0,4924416.0,20529600.0,75086601.0,2311080.0,18852600.0
2005,450000.0,100000.0,10429759.0,0.0,279630.0,1287372.0,153713.0,33548.0,402519.0,7854750.0,32059.0,35865.0,0.0,39647400.0,50000.0,4941352.0,5834.0,3586947.0,49988000.0,418500.0,43273.0,33795400.0,8340033.0,1017661.0,1050000.0,35600000.0,145000.0,3272280.0,4804912.0,27365.0,857220.0,924760.0,29715840.0,5302700.0,8390030.0,115619960.0,13649240.0,11386900.0,35168980.0,3583440.0,6745800.0,6474708.0,11681990.0,4651374.0,6985550.0,7057500.0,5740000.0,93248365.0,637907.0,3556125.0,2550120.0,4771111.0,23639350.0,76742245.0,1557126.0,20959900.0
2010,578379.0,98000.0,10761394.0,0.0,265000.0,1072810.0,172023.0,35747.0,419535.0,6797746.0,64119.0,37964.0,0.0,40456051.0,50969.0,4677371.0,9647.0,3861335.0,47858795.0,445137.0,67342.0,33507000.0,8780066.0,978310.0,1100798.0,35000000.0,187580.0,3710000.0,4409825.0,30560.0,857010.0,782723.0,30299994.0,4340077.0,8340600.0,113690456.0,14497030.0,12954191.0,37961900.0,3471000.0,6744696.0,7168786.0,12361961.0,4219188.0,7603454.0,7027799.0,4561162.0,92924489.0,673936.0,3798734.0,3361450.0,5680657.0,23904351.0,78397889.0,1580995.0,23067200.0
